,ID,Elem,Alpha,Niv,Param,NS,Val
0,J-74,Nod,0.1,Inf,P,0,47.602474212646484
1,J-80,Nod,0.1,Inf,P,0,48.6385498046875
2,J-112,Nod,0.1,Inf,P,0,48.75627136230469
3,J-126,Nod,0.1,Inf,P,0,49.52729797363281
4,J-143,Nod,0.1,Inf,P,0,47.838199615478516
5,J-145,Nod,0.1,Inf,P,0,47.97165298461914
6,J-191,Nod,0.1,Inf,P,0,49.024444580078125
7,J-236,Nod,0.1,Inf,P,0,50.26311492919922
8,J-253,Nod,0.1,Inf,P,0,12.869417190551758
9,J-266,Nod,0.1,Inf,P,0,12.301826477050781
10,J-286,Nod,0.1,Inf,P,0,14.09909439086914
11,J-292,Nod,0.1,Inf,P,0,10.020927429199219
12,J-297,Nod,0.1,Inf,P,0,13.060969352722168
13,J-299,Nod,0.1,Inf,P,0,12.782397270202637
14,J-304,Nod,0.1,Inf,P,0,11.878185272216797
15,J-332,Nod,0.1,Inf,P,0,13.56774616241455
16,J-336,Nod,0.1,Inf,P,0,47.8104133605957
17,J-357,Nod,0.1,Inf,P,0,13.357035636901855
18,J-361,Nod,0.1,Inf,P,0,12.841614723205566
19,J-371,Nod,0.1,Inf,P,0,49.06509017944336
20,P-2,Tub,0.1,Inf,Q,0,12.453909873962402
21,P-2,Tub,0.1,Inf,V,0,0.6827214360237122
22,P-4,Tub,0.1,Inf,Q,0,36.36227035522461
23,P-4,Tub,0.1,Inf,V,0,0.7097689509391785
24,P-6,Tub,0.1,Inf,Q,0,5.48245096206665
25,P-6,Tub,0.1,Inf,V,0,0.30054712295532227
26,P-7,Tub,0.1,Inf,Q,0,5.401266574859619
27,P-7,Tub,0.1,Inf,V,0,0.676834225654602
28,P-9,Tub,0.1,Inf,Q,0,5.561394214630127
29,P-9,Tub,0.1,Inf,V,0,0.3048747777938843
30,P-10,Tub,0.1,Inf,Q,0,7.300447463989258
31,P-10,Tub,0.1,Inf,V,0,0.9148211479187012
32,P-11,Tub,0.1,Inf,Q,0,15.363245010375977
33,P-11,Tub,0.1,Inf,V,0,0.8422107696533203
34,P-13,Tub,0.1,Inf,Q,0,5.852413177490234
35,P-13,Tub,0.1,Inf,V,0,0.7333675622940063
36,P-15,Tub,0.1,Inf,Q,0,30.800878524780273
